x,y,z
1676 ,1698 ,-10 
1731 ,1718 ,25 
1731 ,1718 ,25 
1731 ,1718 ,25 
1731 ,1718 ,25 
1731 ,1718 ,25 
1731 ,1718 ,25 
1731 ,1718 ,25 
1731 ,1718 ,25 
1710 ,1729 ,-26 
1710 ,1729 ,-26 
1710 ,1729 ,-26 
1710 ,1729 ,-26 
1710 ,1729 ,-26 
1710 ,1729 ,-26 
1710 ,1729 ,-26 
1710 ,1729 ,-26 
1710 ,1729 ,-26 
1714 ,1717 ,6 
1714 ,1717 ,6 
1714 ,1717 ,6 
1714 ,1717 ,6 
1714 ,1717 ,6 
1714 ,1717 ,6 
1714 ,1717 ,6 
1714 ,1717 ,6 
1657 ,1682 ,37 
1657 ,1682 ,37 
1657 ,1682 ,37 
1657 ,1682 ,37 
1657 ,1682 ,37 
1657 ,1682 ,37 
1657 ,1682 ,37 
1657 ,1682 ,37 
1657 ,1682 ,37 
1686 ,1701 ,49 
1686 ,1701 ,49 
1686 ,1701 ,49 
1686 ,1701 ,49 
1686 ,1701 ,49 
1686 ,1701 ,49 
1686 ,1701 ,49 
1686 ,1701 ,49 
1753 ,1766 ,13 
1753 ,1766 ,13 
1753 ,1766 ,13 
1753 ,1766 ,13 
1753 ,1766 ,13 
1753 ,1766 ,13 
1753 ,1766 ,13 
1753 ,1766 ,13 
1682 ,1687 ,56 
1682 ,1687 ,56 
1682 ,1687 ,56 
1682 ,1687 ,56 
1682 ,1687 ,56 
1682 ,1687 ,56 
1682 ,1687 ,56 
1682 ,1687 ,56 
1682 ,1687 ,56 
1678 ,1722 ,57 
1678 ,1722 ,57 
1678 ,1722 ,57 
1678 ,1722 ,57 
1678 ,1722 ,57 
1678 ,1722 ,57 
1678 ,1722 ,57 
1678 ,1722 ,57 
1718 ,1740 ,5 
1718 ,1740 ,5 
1718 ,1740 ,5 
1718 ,1740 ,5 
1718 ,1740 ,5 
1718 ,1740 ,5 
1718 ,1740 ,5 
1718 ,1740 ,5 
1718 ,1740 ,5 
1672 ,1671 ,-11 
1672 ,1671 ,-11 
1672 ,1671 ,-11 
1672 ,1671 ,-11 
1672 ,1671 ,-11 
